AddressLine1,AddressLine2,City,StateProvinceID,PostalCode
"100, rue des Rosiers",,Everett,79,98201
"100, rue des Rosiers",,Pantin,179,93500
"100, rue Descartes",,Boulogne-Billancourt,178,92100
"100, rue Jean Mermoz",,Paris,161,75002
"100, rue Maillard",,Roubaix,145,59100
1000 Bidweld Street,,Haney,7,V2W 1W2
"1001, rue des Bouchers",,Paris,161,75012
"1001bis, boulevard Saint Germain",,Roubaix,145,59100
1002 N. Spoonwood Court,,Berkeley,9,94704
1002 N. Spoonwood Court,,Hervey Bay,64,4655
1003 Matterhorn Ct,,Lebanon,58,97355
"1004, rue des Bouchers",,Paris,161,75019
1005 Fremont Street,,Colma,9,94014
1005 Matterhorn Ct.,,Cambridge,14,CB4 4BZ
1005 Matterhorn Ct.,,Mill Valley,9,94941
1005 Tanager Court,,Corvallis,58,97330
1005 Tanager Court,,Milsons Point,50,2061
1005 Valley Oak Plaza,,Langley,7,V3A 4R2
1005 Valley Oak Plaza,,London,14,SW6 SBY
"1005, rue des Bouchers",,Colombes,178,92700
"1005, rue des Bouchers",,Saint-Denis,179,93400
1006 Deercreek Ln,,Bellflower,9,90706
1006 Deercreek Ln,,Torrance,9,90505
1007 Cardinet Dr.,,El Cajon,9,92020
1008 Lydia Lane,,Burbank,9,91502
"1009, rue des Bouchers",,Colomiers,117,31770
101 Adobe Dr,,Coffs Harbour,50,2450
101 Adobe Dr,,Puyallup,79,98371
101 Candy Rd.,,Redmond,79,98052
"101, avenue de la Gare",,Peterborough,14,PB12
"101, avenue de la Gare",,Roissy en Brie,163,77680
"101, avenue des Champs-Elysées",,Colombes,178,92700
"101, avenue Reille",,Versailles,164,78000
"101, rue de Cambrai",,Roubaix,145,59100
"101, rue de Terre Neuve",,Paris,161,75010
"101, rue Léo Delibes",,Paris,161,75009
1010 Maple,,Baltimore,32,21201
"1010, avenue de l´ Union Centrale",,Saint Germain en Laye,164,78100
"1010, impasse Notre-Dame",,Orleans,131,45000
1011 Green St.,,Bellingham,79,98225
1011 Yolanda Circle,,Berkeley,9,94704
1011 Yolanda Circle,,N. Vancouver,7,V7L 4J4
"1011, avenue Foch",,Pantin,179,93500
1013 Buchanan Rd,,Port Macquarie,50,2444
1013 Buchanan Rd,,Yakima,79,98901
1013 Holiday Hills Dr.,,Bremerton,79,98312
1013 Holiday Hills Dr.,,Gateshead,14,GA10
1015 Lynwood Drive,,Metchosin,7,V9
1016 Park Avenue,,Burbank,9,91502
1019 Book Road,,Rhodes,50,2138
1019 Buchanan Road,,Woodland Hills,9,91364
1019 Candy Rd.,,Coffs Harbour,50,2450
1019 Carletto Drive,,Berkeley,9,94704
1019 Chance Drive,,Sedro Woolley,79,98284
1019 Kenwal Rd.,,Lake Oswego,58,97034
1019 Mt. Davidson Court,,Burien,79,98168
1019 Mt. Davidson Court,,London,14,SW8 4BG
1019 Pennsylvania Blvd,,Marysville,79,98270
102 Silverado Drive,,W. Linn,58,97068
102 Vista Place,,Milton Keynes,14,MK8 8DF
102 Vista Place,,Santa Monica,9,90401
"102, rue de Berri",,Les Ulis,177,91940
1020 Book Road,,Bremerton,79,98312
1020 Carletto Drive,,Matraville,50,2036
1020 Carletto Drive,,Santa Cruz,9,95062
"1020, quai de Grenelle",,Croix,145,59170
"1020, quai de Grenelle",,Versailles,164,78000
10203 Acorn Avenue,,Calgary,1,T2P 2G8
1023 Hawkins Street,,Lebanon,58,97355
1023 Hawkins Street,,Townsville,64,4810
1023 Riveria Way,,Burbank,9,91502
1023 Riviera Way,,Oxford,14,OX1
1024 Walnut Blvd.,,Colma,9,94014
1025 Holly Oak Drive,,Leeds,14,LE18
1025 R St.,,Kirkland,79,98033
1025 Yosemite Dr.,,Oregon City,58,97045
1025 Yosemite Dr.,,Townsville,64,4810
"10257, avenue de l´Europe",,Saint-Denis,179,93400
1026 Mt. Wilson Pl.,,Lynnwood,79,98036
1026 Mt. Wilson Pl.,,South Melbourne,77,3205
1028 Green View Court,,Chula Vista,9,91910
1028 Green View Court,,Oregon City,58,97045
1028 Indigo Ct.,,Issaquah,79,98027
1028 Indigo Ct.,,Warrnambool,77,3280
1028 Royal Oak Rd.,,Burlingame,9,94010
1029 Birchwood Dr,,Burien,79,98168
1029 Birchwood Dr,,Olympia,79,98501
"103, avenue des Champs-Elysées",,Paris La Defense,178,92081
"103, rue de Fontfroide",,Lille,145,59000
1030 Ambush Dr.,,Bury,14,PE17
1032 Buena Vista,,North Ryde,50,2113
1032 Coats Road,,Stoke-on-Trent,14,AS23
1032 Cowell Road,,Colombes,178,92700
1035 Arguello Blvd.,,San Diego,9,92102
"1035, boulevard du Montparnasse",,Paris,161,75002
1036 Mason Dr,,Port Orchard,79,98366
1037 Hayes Court,,Stoke-on-Trent,14,AS23
1039 Adelaide St.,,Port Macquarie,50,2444
1039 Adelaide St.,,West Covina,9,91791
"1039, rue Mazagran",,Drancy,179,93700
104 Hilltop Dr.,,Concord,9,94519
104 Hilltop Dr.,,Springwood,50,2777
104 Kaski Ln.,,Portland,58,97205
1040 Greenbush Drive,,Newton,7,V2L3W8
1040 Greenbush Drive,,Silverwater,50,2264
1040 Northridge Road,,London,14,W1X3SE
1040 Northridge Road,,Woodland Hills,9,91364
1042 Hooftrail Way,,Newcastle,50,2300
1044 San Carlos,,Cincinnati,55,45202
1045 Lolita Drive,,Torrance,9,90505
1045 Lolita Drive,,Townsville,64,4810
1046 Cloverleaf Circle,,Shawnee,7,V8Z 4N5
1046 San Carlos Avenue,,Colma,9,94014
1047 Las Quebradas Lane,,North Sydney,50,2055
1047 Las Quebradas Lane,,Oak Bay,7,V8P
1048 Burwood Way,,Haney,7,V2W 1W2
1048 Burwood Way,,Hervey Bay,64,4655
1048 Las Quebradas Lane,,Walla Walla,79,99362
1048 Las Quebradas Lane,,Wollongong,50,2500
105 Clark Creek Lane,,Port Macquarie,50,2444
105 Woodruff Ln.,,Bellingham,79,98225
105 Woodruff Ln.,,Oakland,9,94611
1050 Creed Ave,,Lebanon,58,97355
1050 Creed Ave,,London,14,W10 6BL
1050 Greenhills Circle,,Lane Cove,50,1597
1050 Greenhills Circle,,Langley,7,V3A 4R2
1050 Oak Street,,Seattle,79,98104
1052 Stanford Street,,El Cajon,9,92020
1053 Rain Drop Circle,,Warrnambool,77,3280
1054 Vine Circle,,Burbank,9,91502
1054 Vloching Circle,,York,14,Y024 1GF
1055 Horseshoe Road,,London,14,SW1P 2NU
"1055, rue Basse-du-Rocher",,Paris,161,75009
"10570, rue Lamarck",,Saint Germain en Laye,164,78100
"10571, rue de Varenne",,Lieusaint,163,77127
1058 Kirker Pass Road,,Bendigo,77,3550
1058 Kirker Pass Road,,Westminster,7,V3L 1H4
1058 Miwok Way,,Bellingham,79,98225
1058 Park Blvd.,,Woodburn,58,97071
1059 Delta Fair Blvd.,,Port Hammond,7,V6B 3P7
1059 Kirkwood Ct,,W. York,14,BD1 4SJ
1059 Stonewood Ct,,Glendale,9,91203
1060 Mcelroy Court,,Burbank,9,91502
1060 Mcelroy Court,,South Melbourne,77,3205
1061 Buskrik Avenue,,Coronado,9,92118
1061 Buskrik Avenue,,Edmonds,79,98020
1061 Carzino Ct,,Bracknell,14,RG12 8TB
1061 Carzino Ct,,Kirkby,14,KB9
1061 Delta Fair Blvd.,,Bremerton,79,98312
1061 Delta Fair Blvd.,,Milwaukie,58,97222
1063 Pinehurst Court,,Lakewood,9,90712
1063 Pinehurst Court,,Oxford,14,OX1
1064 Almond Drive,,Warrington,14,WA3 7BH
1064 Armstrong Rd.,,Langley,7,V3A 4R2
1064 Armstrong Rd.,,South Melbourne,77,3205
1064 Diver Way,,Spring Valley,9,91977
1064 Slavio,,Lebanon,58,97355
1064 Slow Creek Road,,Seattle,79,98104
1064 William Way,,Darlinghurst,50,2010
1064 William Way,,Woodland Hills,9,91364
1065 Almond St.,,Maidenhead,14,SL67RJ
1065 Almond St.,,Santa Cruz,9,95062
1065 Coachman Pl.,,Burien,79,98168
1065 Coachman Pl.,,Wollongong,50,2500
1068 N Sweetbriar Court,,La Jolla,9,92806
1069 Ahwanee Lane,,Daly City,9,94015
1069 Ahwanee Lane,,North Ryde,50,2113
1069 Bynum Way,,Puyallup,79,98371
1069 Central Blvd.,,Hobart,71,7001
"1069, boulevard du Montparnasse",,Paris,161,75002
107 Woodside Court,,Glendale,9,91203
"107, rue des Bouchers",,Chatou,164,78400
1071 Stanz Grace St.,,Chula Vista,9,91910
1073 Bonnie Lane,,Port Macquarie,50,2444
1074 Lori Drive,,Lake Oswego,58,97034
1075 San Miguel Circle,,Oxford,14,OX1
1077 Laurel Drive,,Bellingham,79,98225
1077 Laurel Drive,,Long Beach,9,90802
1077 Pheasant Drive,,Downey,9,90241
1077 Willow Court,,Burbank,9,91502
1077 Willow Court,,Imperial Beach,9,91932
1078 Aloe Vera Road,,Beaverton,58,97005
108 Lakeside Court,,Bellevue,79,98004
108 Lakeside Court,,Corvallis,58,97330
1080 Crestwood Circle,,Metchosin,7,V9
1080 Crestwood Circle,,Rockhampton,64,4700
"1080, quai de Grenelle",,Saint Ouen,103,17490
1082 Crivello Avenue,,Cranbourne,77,3977
1082 Crivello Avenue,,Glendale,9,91203
1082 Selena Court,,Reading,14,RG7 5H7
1082 Selena Court,,Runcorn,14,TY31
1083 W. Hook Road,,Los Angeles,9,90012
1083 W. Hookston Road,,Chantilly,75,20151
1084 Meadow Glen Way,,Chula Vista,9,91910
1084 Meadow Glen Way,,Oxford,14,OX14 4SE
1085 Ash Lane,,London,14,W1N 9FA
1085 Ash Lane,,Spokane,79,99202
1085 Greenbelt Way,Unit B-105,Los Angeles,9,90012
1086 Ash Lane,,National City,9,91950
1086 Clayton Road,,Berks,14,SL4 1RH
1086 Clayton Road,,Portland,58,97205
1086 Rose Dr.,,Olympia,79,98501
1087 Knollview Court,,Novato,9,94947
1087 Park Tree Ct.,,Goulburn,50,2580
1088 Ash Lane,,Bury,14,PE17
1088 Ash Lane,,Hawthorne,64,4171
109 Clay Road,,Hervey Bay,64,4655
109 Clayton Road,,London,14,W1N 9FA
"109, avenue des Ternes",,Les Ulis,177,91940
1090 El Dorado Way,,Vancouver,7,V7L 4J4
"1090, quai de Grenelle",,Paris,161,75012
1091 Bloching Circle,,Lemon Grove,9,91945
1092 Boxer Blvd,,Port Hammond,7,V6B 3P7
1092 Pinole Valley Rd.,,Oakland,9,94611
1093 Gatter Court,,San Gabriel,9,91776
1093 Via Romero,,San Diego,9,92102
1094 Loveridge Circle,,Beaverton,58,97005
1094 Loveridge Circle,,Oregon City,58,97045
1095 Collins Drive,,Runcorn,14,TY31
1095 Collins Drive,,Seaford,77,3198
1097 Kulani Lane,,Kirkland,79,98033
1097 Kulani Lane,,London,14,SW19 3RU
1098 Lawton Street,,Peterborough,14,PB12
1098 Lawton Street,,Spokane,79,99202
1099 C Street,,Langley,7,V3A 4R2
1099 C Street,,London,14,SW1P 2NU
1099 Catalpa Court,,Redmond,79,98052
"10bis, rue des Peupliers",,Les Ulis,177,91940
11 Sunrise Drive,,Darlinghurst,50,2010
11 Sunrise Drive,,Mill Valley,9,94941
"11, allée des Princes",,Colombes,178,92700
"11, avenue de la Gare",,Lieusaint,163,77127
"11, avenue de la Gare",,Saint Ouen,103,17490
"11, avenue du Port",,Paris,161,75016
"11, avenue du Président-Kennedy",,Bobigny,179,93000
"11, avenue du Président-Kennedy",,Morangis,177,91420
"11, avenue du Président-Kennedy",,Paris,161,75007
"11, avenue du Président-Kennedy",,Paris La Defense,178,92081
"11, avenue du Président-Kennedy",,Roubaix,145,59100
"11, avenue du Président-Kennedy",,Saint-Denis,179,93400
"11, avenue du Président-Kennedy",,Verrieres Le Buisson,177,91370
"11, boulevard Tremblay",,Saint Germain en Laye,164,78100
"11, place de la République",,Paris,161,75016
"11, quai de l´ Iton",,Bobigny,179,93000
"11, quai de l´ Iton",,Chatou,164,78400
"11, quai de l´ Iton",,Courbevoie,178,92400
"11, quai de l´ Iton",,Lille,145,59000
"11, quai de l´ Iton",,Pantin,179,93500
"11, quai de l´ Iton",,Paris,161,75002
"11, quai de l´ Iton",,Paris,161,75005
"11, quai de l´ Iton",,Roissy en Brie,163,77680
"11, quai de l´ Iton",,Saint Ouen,103,17490
"11, rue de Cambrai",,Boulogne-Billancourt,178,92100
"11, rue de Cambrai",,Orly,180,94310
"11, rue de Cambrai",,Paris,161,75019
"11, rue de la Cavalerie",,Esher-Molesey,14,EM15
"11, rue de l'Espace De Schengen",,Boulogne-Billancourt,178,92100
"11, rue de l'Espace De Schengen",,Paris,161,75007
"11, rue de l'Espace De Schengen",,Roncq,145,59223
"11, rue de l'Espace De Schengen",,Saint Ouen,166,80610
"11, rue de l'Espace De Schengen",,Verrieres Le Buisson,177,91370
"11, rue de Maubeuge",,Metz,143,57000
"11, rue de Maubeuge",,Saint Germain en Laye,164,78100
"11, rue de Terre Neuve",,Lieusaint,163,77127
"11, rue de Terre Neuve",,Villeneuve-d'Ascq,145,59491
"11, rue Descartes",,Saint-Denis,179,93400
"11, rue Descartes",,Versailles,164,78000
"11, rue du Départ",,Sèvres,178,92310
"11, rue du Puits Dixme",,Colombes,178,92700
"11, rue du Puits Dixme",,Courbevoie,178,92400
"11, rue du Puits Dixme",,Drancy,179,93700
"11, rue du Puits Dixme",,Orleans,131,45000
"11, rue du Puits Dixme",,Orly,180,94310
"11, rue du Puits Dixme",,Paris,161,75007
"11, rue du Puits Dixme",,Paris,161,75013
"11, rue Henri Gagnon",,Roissy en Brie,163,77680
"11, rue Philibert-Delorme",,Metz,143,57000
"11, rue Saint Denis",,Drancy,179,93700
"11, rue Saint Denis",,Saint Germain en Laye,164,78100
"11, rue Villedo",,Paris,161,75009
110 E. Watson Court,,Hervey Bay,64,4655
110 E. Watson Court,,Sooke,7,V0
110 Katherine Drive,,Brisbane,64,4000
"110, boulevard Beau Marchais",,Gateshead,14,GA10
1101 C Street,,Daly City,9,94015
"1101, rue Lauriston",,Lynnwood,79,98036
"1101, rue Lauriston",,Sèvres,178,92310
1102 Geary Ct,,Lancaster,14,LA1 1LN
1102 Ravenwood,,North Ryde,50,2113
1102 Ravenwood,,Seattle,79,98104
1102 Ravenwood,,W. Linn,58,97068
"1102, rue Maillard",,Sèvres,178,92310
"1102, rue Maillard",,Versailles,164,78000
"1103, rue Lamarck",,Paris,161,75019
1104 Colton Ln,,Burien,79,98168
1104 Colton Ln,,Corvallis,58,97330
1104 O St.,,Coronado,9,92118
1105 Meadowbrook Drive,,Colma,9,94014
1105 Meadowbrook Drive,,Olympia,79,98501
1105 N. 48th St,,London,14,E17 6JF
1105 N. 48th St,,Newton,7,V2M1N7
1105 O St.,,Shawnee,7,V8Z 4N5
1106 Pine Creek Way,,Bracknell,14,RG12 8TB
1106 Pine Creek Way,,Lincoln Acres,9,91950
1107 La Corte Bonita,,Cliffside,7,V8Y 1L1
1108 Cactus Court,,Hervey Bay,64,4655
"111, boulevard du Montparnasse",,Colombes,178,92700
"111, quai Paul Doumer",,Roubaix,145,59100
"111, rue des Pyrenees",,Roubaix,145,59100
"111, rue Maillard",,Versailles,164,78000
"111, rue Marbeuf",,Colomiers,117,31770
1111 Bayview Cr,,High Wycombe,14,HP10 9QY
1111 Bayview Cr,,Palo Alto,9,94303
"1111, rue de Longchamp",,Colomiers,117,31770
"1111, rue Ste-Honoré",,Roncq,145,59223
1112 Roehlidge Lane,,Sedro Woolley,79,98284
"1112, rue des Grands Champs",,Saint Germain en Laye,164,78100
1113 Catherine Way,,Newport Beach,9,92625
1113 Ready Road,,Lake Oswego,58,97034
1113 Ready Road,,Oxford,14,OX14 4SE
1114 Laurel,,Spring Valley,9,91977
1117 Ashford Court,,Burien,79,98168
1117 Diablo View Road,,Renton,79,98055
1119 Elderwood Dr.,,Lake Oswego,58,97034
1119 Elderwood Dr.,#3,Birmingham,14,B29 6SL
112 Kathleen Drive,,London,14,EC1R 0DU
112 Kathleen Drive,,Palo Alto,9,94303
112 RaceCt,,Renton,79,98055
"112, avenue du Québec",,Pantin,179,93500
"112, avenue du Québec",,Sèvres,178,92310
"112, boulevard Tremblay",,Saint-Denis,179,93400
"112, rue Faubourg St Antoine",,Roubaix,145,59100
"112, rue Marbeuf",,Dunkerque,145,59140
"112, rue Marbeuf",,Rockhampton,64,4700
1120 Curtis Drive,,High Wycombe,14,HP10 9QY
1120 Curtis Drive,,Sedro Woolley,79,98284
1120 Jeff Ct.,,Vancouver,7,V7L 4J4
1121 Boynton Avenue,,Colma,9,94014
1121 Boynton Avenue,,Issaquah,79,98027
1121 Ferry Street,,Cambridge,14,CB4 4BZ
1121 Ferry Street,,Everett,79,98201
1121 Serrano Way,,Spokane,79,99202
1124 Leeds Ct. West,,Marysville,79,98270
1127 Leewood Place,,W. Linn,58,97068
1127 Oak Street,,Coronado,9,92118
1127 Wellington Avenue,,Salem,58,97301
113 Gordon Ct.,,Milsons Point,50,2061
"113, rue Ste-Honoré",,Paris,161,75012
1130 Fillet Ave.,,Lavender Bay,50,2060
1130 Fillet Ave.,,Port Hammond,7,V6B 3P7
1132 Plymouth Dr.,,Bellflower,9,90706
1132 Plymouth Dr.,,Lake Oswego,58,97034
1132 San Vincente Drive,,Silverwater,50,2264
1133 Beauer Lane,,Hobart,71,7001
1133 Concord Place,,Portland,58,97205
1133 Fillet Ave,,Beverly Hills,9,90210
1133 Fillet Ave,,N. Vancouver,7,V7L 4J4
1133 Leisure Lane,,Burnaby,7,V3J 6Z3
1133 Leisure Lane,,Sooke,7,V0
1134 Concord Pl.,,Grossmont,9,91941
1134 Concord Pl.,,Springwood,50,2777
1135 Glenellen Court,,San Carlos,9,94070
1135 W St.,,Cloverdale,66,6105
1135 W St.,,Stoke-on-Trent,14,AS23
1136 Lane Way,,Hawthorne,64,4171
"114, quai Paul Doumer",,Lieusaint,163,77127
1140 Panoramic Drive,,Port Hammond,7,V6B 3P7
1141 Hale Court,,Fremont,9,94536
1141 Panoramic Dr.,,London,14,SW1P 2NU
1141 Panoramic Dr.,,Spring Valley,9,91977
1141 Redwood Road,,Yakima,79,98901
1141 Rolling Hill Way,,Glendale,9,91203
1142 Firestone Dr.,,Downey,9,90241
1142 Firestone Dr.,,Melton,77,3337
1143 Julpum Loop,,Bellingham,79,98225
1143 Julpum Loop,,Oak Bay,7,V8P
1144 N. Jackson Way,,Lynnwood,79,98036
1144 Paradise Ct.,,Issaquah,79,98027
1144 Paradise Ct.,,Newport Beach,9,92625
1144 Paraiso Ct.,,Berkeley,9,94704
"1144, rue Ste-Honoré",,Morangis,177,91420
1144/118 rue Faubourg St Antoine,,Lille,145,59000
1145 Paraiso Ct.,,Langley,7,V3A 4R2
1147 Delta Way,,Beverly Hills,9,90210
1147 Dimaggio Way,,Newcastle upon Tyne,14,NT20
1147 Mellowood Street,,Newport Beach,9,92625
1148 Thornwood Drive,,Berks,14,SL4 1RH
1148 Thornwood Drive,,Corvallis,58,97330
115 Pine Creek Way,,Lynnwood,79,98036
115 Santa Fe Street,,Cliffside,7,V8Y 1L1
115 Santa Fe Street,,Lavender Bay,50,2060
"115, quai Paul Doumer",,Saint-Denis,179,93400
1153 Loma Linda,,Bendigo,77,3550
1153 Loma Linda,,Oxford,14,OX14 4SE
1153 Southampton Road,,Rhodes,50,2138
1154 Regina Lane,,St. Leonards,50,2065
1154 Regina Lane,,W. Linn,58,97068
"1155, rue Ste-Honoré",,Paris,161,75017
1156 Corte Poquito,,Beaverton,58,97005
1156 Corte Poquito,,Yakima,79,98901
1156 Dublin Court,,Runcorn,14,TY31
1156 Dublin Court,,Watford,14,WA3
1157 Chilpancingo Pk.,,Bremerton,79,98312
1157 Chilpancingo Pk.,,Colma,9,94014
"1157, rue Marbeuf",,Les Ulis,177,91940
1158 Roundtree Place,,Coffs Harbour,50,2450
1158 Roundtree Place,,Spokane,79,99202
1159 Filling Ave.,,Santa Monica,9,90401
1159 Lacassie Ave,,Wollongong,50,2500
1159 LaCrosse Ave,,San Francisco,9,94109
"116, boulevard d´Albi",,Bobigny,179,93000
"116, boulevard d´Albi",,Metz,143,57000
1160 Bella Avenue,,Esher-Molesey,14,EM15
1160 Bella Avenue,,Port Orchard,79,98366
1160 Camelback Road,,Hervey Bay,64,4655
1160 Via Del Sol,,Oak Bay,7,V8P
1160 Via Del Sol,,Springwood,50,2777
1161 Daffodil Dr.,,Burbank,9,91502
1161 Daffodil Dr.,,Milton Keynes,14,MK8 8DF
1161 Pine Hollow Road,,Burnaby,7,V3J 6Z3
1162 Park Glenn,,Gold Coast,64,4217
1162 Park Glenn,,Walla Walla,79,99362
1162 Relief Valley Ct,,Colma,9,94014
1162 Relief Valley Ct,,Seaford,77,3198
1162 Thunderbird Drive,,Oregon City,58,97045
1163 Bella Vista,# 103,Santa Monica,9,90401
1164 Augustine Drive,,Lane Cove,50,1597
1164 Bell Drive,,Coronado,9,92118
1164 Glenview Drive,,Langford,7,V9
1168 Escobar,,Chula Vista,9,91910
1168 Escobar,,Woodland Hills,9,91364
117 Esperanza Dr,,Lemon Grove,9,91945
117 Marvello Lane,,Lane Cove,50,1597
117 Marvello Lane,,Peterborough,14,PB12
1170 Shaw Rd,,Glendale,9,91203
1170 Shaw Rd,,St. Leonards,50,2065
1172 Flamingo Dr.,,Cliffside,7,V8Y 1L1
1172 Flamingo Dr.,,London,14,C2H 7AU
1172 Lunar Lane,,West Covina,9,91791
1173 Dale Pl.,,Hobart,71,7001
1173 Dale Pl.,,Sydney,50,1002
1174 Ayers Rd,,Downey,9,90241
1174 Royal Ann Lane,,Matraville,50,2036
1176 Oil Road,,Redmond,79,98052
1176 Oily Road,,Sydney,50,1002
1177 Oily Road,,Burien,79,98168
1177 Oily Road,,West Covina,9,91791
1178 Flora Ave.,,Shawnee,7,V9B 2C3
1178 Sandy Blvd.,,Gold Coast,64,4217
1178 Sandy Blvd.,,Yakima,79,98901
"118, rue Faubourg St Antoine",,Bobigny,179,93000
"118, rue Marbeuf",,Colombes,178,92700
"118, rue Marbeuf",,Orleans,131,45000
"118, rue Marbeuf",,Suresnes,178,92150
"118, rue Marbeuf",,Villeneuve-d'Ascq,145,59491
1180 Rhea Ct,,West Covina,9,91791
"11802, rue Surcouf",,Colombes,178,92700
1183 Royal Links Circle,,Berks,14,SL4 1RH
1183 Royal Links Circle,,Grossmont,9,91941
1183 Tono Lane,,Berkshire,14,RG11 5TP
1183 Tono Lane,,Townsville,64,4810
1185 Dallas Drive,,Everett,79,98201
1185 Dallis Drive,,Novato,9,94947
1185 Laguna St,,Tacoma,79,98403
"119, quai Paul Doumer",,Paris,161,75017
"119, rue Faubourg St Antoine",,Orleans,131,45000
"119, rue Marbeuf",,Villeneuve-d'Ascq,145,59491
1190 Hill Top Rd.,,Concord,9,94519
1190 Hill Top Rd.,,Runcorn,14,TY31
1191 Boxwood Dr.,,Burbank,9,91502
1191 Boxwood Dr.,,Oxford,14,OX1
1191 Rhoda Way,,Vancouver,7,V7L 4J4
1192 A St.,,Esher-Molesey,14,EM15
1192 A St.,,Gold Coast,64,4217
1192 Parkway Drive,,Mill Valley,9,94941
1192 Parkway Drive,,Mill Valley,44,68601
1192 Tosca Way,,Beaverton,58,97005
1192 Tosca Way,,Townsville,64,4810
1197 Santa Barbara,,North Ryde,50,2113
1197 Santa Barbara,,Santa Monica,9,90401
"1199, rue Ste-Honoré",,Sèvres,178,92310
"12, avenue des Laurentides",,Roubaix,145,59100
"12, avenue du Port",,Sèvres,178,92310
"12, avenue Foch",,Lieusaint,163,77127
"12, avenue Foch",,Royal Oak,7,V8X
"12, cours Mirabeau",,Paris,161,75012
"12, place de la Concorde",,Colomiers,117,31770
"12, route de Marseille",,Colombes,178,92700
"12, route de Marseille",,Paris,161,75010
"12, route de Marseille",,Verrieres Le Buisson,177,91370
"12, rue des Berges",,Villeneuve-d'Ascq,145,59491
